,date,speed,engine_load,throttle,heading,roll,pitch,sys,gyro,accel,mag,magx,magy,magz,gyrx,gyry,gyrz,linaccx,linaccy,linaxxz,time,time_diff
75,1517153011.18,62.0,0.23921568627450981,0.20784313725490197,260.5625,-1.6875,20.4375,0,0,0,0.0,-19.1875,-50.375,-34.0625,0.0355555555556,-0.07111111111110001,0.0588888888889,-1.36,1.53,1.45,209.65000009536743,4.680000066757202
76,1517153015.82,64.0,0.2549019607843137,0.21176470588235294,245.75,-4.8125,19.9375,0,0,0,0.0,-15.0,-39.375,-27.5,-0.117777777778,-0.025555555555599997,0.011111111111099999,-0.25,-0.04,-1.1,214.28999996185303,4.639999866485596
77,1517153020.47,65.0,0.4,0.1568627450980392,233.4375,-6.3125,19.9375,0,0,0,0.0,-14.1875,-34.0625,-27.0,-0.0511111111111,-0.0011111111111099998,-0.026666666666700003,-1.84,0.5,0.46,218.94000005722046,4.650000095367432
78,1517153025.16,63.0,0.10588235294117647,0.16862745098039217,230.3125,-6.125,22.5625,0,0,0,0.0,-17.375,-59.6875,-34.5625,-0.113333333333,-0.011111111111099999,-0.024444444444400002,-0.8,0.3,0.03,223.63000011444092,4.690000057220459
79,1517153029.82,62.0,0.24313725490196078,0.19607843137254902,227.9375,-5.3125,22.75,0,0,0,0.0,-17.0,-56.5625,-32.0625,0.308888888889,-0.07111111111110001,0.147777777778,-1.41,3.1,4.18,228.28999996185303,4.659999847412109
80,1517153034.53,62.0,0.33725490196078434,0.21176470588235294,219.3125,-5.25,23.5,0,0,0,0.0,-13.0,-47.0,-32.375,-0.025555555555599997,-0.004444444444439999,0.0477777777778,-0.13,2.55,1.48,233.0,4.710000038146973
81,1517153039.2,64.0,0.5254901960784314,0.20392156862745098,215.25,-4.125,23.1875,0,0,0,0.0,-12.6875,-44.75,-31.5625,-0.137777777778,-0.0388888888889,-0.0188888888889,-0.73,-0.24,-0.33,237.67000007629395,4.670000076293945
82,1517153043.85,61.0,0.13725490196078433,0.16470588235294117,215.0625,-4.4375,24.5625,0,0,0,0.0,-12.75,-45.5625,-30.5,0.121111111111,0.008888888888889999,0.044444444444399996,-1.57,2.56,1.58,242.3199999332428,4.6499998569488525
83,1517153048.51,58.0,0.36470588235294116,0.18823529411764706,214.3125,-7.4375,25.9375,0,0,0,0.0,-4.0,-39.75,-28.5625,-0.0333333333333,0.0211111111111,-0.008888888888889999,-0.32,1.27,-0.47,246.9800000190735,4.6600000858306885
84,1517153053.19,62.0,0.1803921568627451,0.14901960784313725,214.1875,-9.3125,25.125,0,0,0,0.0,-2.5625,-39.75,-29.1875,-0.142222222222,0.0022222222222199996,-0.044444444444399996,-1.0,-0.83,-0.04,251.6600000858307,4.680000066757202
